subj,word,sex,language,rating
22,23,f,ger,5
22,24,m,ger,-1
23,1,m,ger,-1
23,2,f,ger,1
23,3,f,ger,-4
23,4,f,ger,4
23,5,m,ger,0
23,6,f,ger,1
23,7,m,ger,3
23,8,m,ger,-1
23,9,f,ger,-1
23,10,m,ger,-1
23,11,m,ger,-6
23,12,f,ger,3
23,13,f,ger,-3
23,14,m,ger,-3
23,15,f,ger,-3
23,16,m,ger,-3
23,17,m,ger,-7
23,18,m,ger,11
23,19,m,ger,-7
23,20,m,ger,1
23,21,f,ger,-11
23,22,m,ger,-5
23,23,f,ger,2
23,24,m,ger,-3
24,1,m,ger,-5
24,2,f,ger,5
24,3,f,ger,-9
24,4,f,ger,-4
24,5,m,ger,5
24,6,f,ger,1
24,7,m,ger,-5
24,8,m,ger,5
24,9,f,ger,-1
24,10,m,ger,11
24,11,m,ger,-1
24,12,f,ger,5
24,13,f,ger,3
24,14,m,ger,7
24,15,f,ger,2
24,16,m,ger,-5
24,17,m,ger,-9
24,18,m,ger,7
24,19,m,ger,-9
24,20,m,ger,-7
24,21,f,ger,-9
24,22,m,ger,1
24,23,f,ger,9
24,24,m,ger,-5
25,1,m,ger,-7
25,2,f,ger,3
25,3,f,ger,-7
25,4,f,ger,-1
25,5,m,ger,-3
25,6,f,ger,-1
25,7,m,ger,0
25,8,m,ger,-1
25,9,f,ger,4
25,10,m,ger,5
25,11,m,ger,3
25,12,f,ger,0
25,13,f,ger,-11
25,14,m,ger,-7
25,15,f,ger,8
25,16,m,ger,-2
25,17,m,ger,-5
25,18,m,ger,9
25,19,m,ger,0
25,20,m,ger,-1
25,21,f,ger,-3
25,22,m,ger,5
25,23,f,ger,11
25,24,m,ger,-1
26,1,m,ger,-3
26,2,f,ger,1
26,3,f,ger,1
26,4,f,ger,-1
26,5,m,ger,3
26,6,f,ger,-2
26,7,m,ger,-3
26,8,m,ger,-11
26,9,f,ger,1
26,10,m,ger,-5
26,11,m,ger,0
26,12,f,ger,4
26,13,f,ger,-5
26,14,m,ger,-11
26,15,f,ger,6
26,16,m,ger,-5
26,17,m,ger,-5
26,18,m,ger,7
26,19,m,ger,2
26,20,m,ger,-3
26,21,f,ger,-7
26,22,m,ger,-7
26,23,f,ger,6
26,24,m,ger,-3
27,1,m,ger,-7
27,2,f,ger,1
27,3,f,ger,-11
27,4,f,ger,-1
27,5,m,ger,9
27,6,f,ger,-8
27,7,m,ger,7
27,8,m,ger,-3
27,9,f,ger,8
27,10,m,ger,-5
27,11,m,ger,-4
27,12,f,ger,7
27,13,f,ger,-5
27,14,m,ger,-3
27,15,f,ger,5
27,16,m,ger,-1
27,17,m,ger,-7
27,18,m,ger,9
27,19,m,ger,-7
27,20,m,ger,-3
27,21,f,ger,-6
27,22,m,ger,3
27,23,f,ger,7
27,24,m,ger,9
28,1,m,ger,-7
28,2,f,ger,7
28,3,f,ger,1
28,4,f,ger,3
28,5,m,ger,4
28,6,f,ger,-6
28,7,m,ger,1
28,8,m,ger,-11
28,9,f,ger,1
28,10,m,ger,5
28,11,m,ger,-4
28,12,f,ger,1
28,13,f,ger,-1
28,14,m,ger,5
28,15,f,ger,-9
28,16,m,ger,-9
28,17,m,ger,-7
28,18,m,ger,11
28,19,m,ger,-11
28,20,m,ger,1
28,21,f,ger,-3
28,22,m,ger,-3
28,23,f,ger,-1
28,24,m,ger,-7
29,1,m,ger,-1
29,2,f,ger,5
29,3,f,ger,-9
29,4,f,ger,7
29,5,m,ger,7
29,6,f,ger,-5
29,7,m,ger,-3
29,8,m,ger,-1
29,9,f,ger,7
29,10,m,ger,13
29,11,m,ger,-3
29,12,f,ger,0
29,13,f,ger,3
29,14,m,ger,5
29,15,f,ger,-5
29,16,m,ger,-5
29,17,m,ger,-11
29,18,m,ger,9
29,19,m,ger,-11
29,20,m,ger,1
29,21,f,ger,-1
29,22,m,ger,7
29,23,f,ger,1
29,24,m,ger,1
30,1,m,ger,-9
30,2,f,ger,-1
30,3,f,ger,5
30,4,f,ger,-4
30,5,m,ger,5
30,6,f,ger,-6
30,7,m,ger,-4
30,8,m,ger,-3
30,9,f,ger,5
30,10,m,ger,-3
30,11,m,ger,0
30,12,f,ger,7
30,13,f,ger,-1
30,14,m,ger,11
30,15,f,ger,6
30,16,m,ger,1
30,17,m,ger,-11
30,18,m,ger,9
30,19,m,ger,-5
30,20,m,ger,-4
30,21,f,ger,-7
30,22,m,ger,3
30,23,f,ger,7
30,24,m,ger,-5
31,1,m,ger,-5
31,2,f,ger,3
31,3,f,ger,-5
31,4,f,ger,5
31,5,m,ger,4
31,6,f,ger,2
31,7,m,ger,3
31,8,m,ger,10
31,9,f,ger,0
31,10,m,ger,-2
31,11,m,ger,-4
31,12,f,ger,9
31,13,f,ger,-3
31,14,m,ger,7
31,15,f,ger,1
31,16,m,ger,-3
31,17,m,ger,-1
31,18,m,ger,5
31,19,m,ger,-9
31,20,m,ger,-1
31,21,f,ger,1
31,22,m,ger,3
31,23,f,ger,3
31,24,m,ger,-1
32,1,m,ger,-3
32,2,f,ger,-3
32,3,f,ger,-1
32,4,f,ger,-1
32,5,m,ger,0
32,6,f,ger,5
32,7,m,ger,-1
32,8,m,ger,-9
32,9,f,ger,5
32,10,m,ger,1
32,11,m,ger,5
32,12,f,ger,11
32,13,f,ger,-1
32,14,m,ger,9
32,15,f,ger,-1
32,16,m,ger,-7
32,17,m,ger,-9
32,18,m,ger,11
32,19,m,ger,-3
32,20,m,ger,-5
32,21,f,ger,-1
32,22,m,ger,7
32,23,f,ger,-3
32,24,m,ger,5
33,1,m,ger,5
33,2,f,ger,7
33,3,f,ger,-3
33,4,f,ger,2
33,5,m,ger,2
33,6,f,ger,-3
33,7,m,ger,3
33,8,m,ger,-13
33,9,f,ger,7
33,10,m,ger,13
33,11,m,ger,-1
33,12,f,ger,9
33,13,f,ger,-3
33,14,m,ger,7
33,15,f,ger,6
33,16,m,ger,-3
33,17,m,ger,-7
33,18,m,ger,7
33,19,m,ger,-11
33,20,m,ger,-5
33,21,f,ger,5
33,22,m,ger,-1
33,23,f,ger,7
33,24,m,ger,-5
34,1,m,ger,-1
34,2,f,ger,6
34,3,f,ger,-9
34,4,f,ger,-9
34,5,m,ger,2
34,6,f,ger,-11
34,7,m,ger,-3
34,8,m,ger,0
34,9,f,ger,3
34,10,m,ger,11
34,11,m,ger,-5
34,12,f,ger,7
34,13,f,ger,-3
34,14,m,ger,-1
34,15,f,ger,3
34,16,m,ger,-9
34,17,m,ger,-9
34,18,m,ger,13
34,19,m,ger,-7
34,20,m,ger,-3
34,21,f,ger,-1
34,22,m,ger,-1
34,23,f,ger,3
