subj,word,assoc_i,sex_port,sex_ger,sex,language,rating
5,10,3,f,m,f,por,1
5,11,1,f,m,f,por,-5
5,11,2,f,m,f,por,5
5,11,3,f,m,f,por,1
5,12,1,m,f,m,por,-5
5,12,2,m,f,m,por,1
5,12,3,m,f,m,por,3
5,13,1,m,f,m,por,-1
5,13,2,m,f,m,por,-1
5,13,3,m,f,m,por,-3
5,14,1,f,m,f,por,-3
5,14,2,f,m,f,por,1
5,14,3,f,m,f,por,3
5,15,1,m,f,m,por,-5
5,15,2,m,f,m,por,-1
5,15,3,m,f,m,por,-3
5,16,1,f,m,f,por,3
5,16,2,f,m,f,por,-5
5,16,3,f,m,f,por,1
5,17,1,f,m,f,por,1
5,17,2,f,m,f,por,1
5,17,3,f,m,f,por,-3
5,18,1,f,m,f,por,5
5,18,2,f,m,f,por,-3
5,18,3,f,m,f,por,3
5,19,1,f,m,f,por,-3
5,19,2,f,m,f,por,1
5,19,3,f,m,f,por,5
5,20,1,f,m,f,por,5
5,20,2,f,m,f,por,-1
5,20,3,f,m,f,por,3
5,21,1,m,f,m,por,-3
5,21,2,m,f,m,por,-5
5,21,3,m,f,m,por,-3
5,22,1,f,m,f,por,-3
5,22,2,f,m,f,por,1
5,22,3,f,m,f,por,1
5,23,1,m,f,m,por,3
5,23,2,m,f,m,por,3
5,23,3,m,f,m,por,-3
5,24,1,f,m,f,por,1
5,24,2,f,m,f,por,3
5,24,3,f,m,f,por,3
6,1,1,f,m,f,por,0
6,1,2,f,m,f,por,3
6,1,3,f,m,f,por,5
6,2,1,m,f,m,por,1
6,2,2,m,f,m,por,-3
6,2,3,m,f,m,por,0
6,3,1,m,f,m,por,-5
6,3,2,m,f,m,por,0
6,3,3,m,f,m,por,1
6,4,1,m,f,m,por,5
6,4,2,m,f,m,por,1
6,4,3,m,f,m,por,5
6,5,1,f,m,f,por,1
6,5,2,f,m,f,por,-3
6,5,3,f,m,f,por,1
6,6,1,m,f,m,por,-3
6,6,2,m,f,m,por,-5
6,6,3,m,f,m,por,0
6,7,1,f,m,f,por,-5
6,7,2,f,m,f,por,5
6,7,3,f,m,f,por,0
6,8,1,f,m,f,por,5
6,8,2,f,m,f,por,3
6,8,3,f,m,f,por,1
6,9,1,m,f,m,por,1
6,9,2,m,f,m,por,1
6,9,3,m,f,m,por,-5
6,10,1,f,m,f,por,3
6,10,2,f,m,f,por,3
6,10,3,f,m,f,por,-1
6,11,1,f,m,f,por,-5
6,11,2,f,m,f,por,1
6,11,3,f,m,f,por,-1
6,12,1,m,f,m,por,-5
6,12,2,m,f,m,por,-5
6,12,3,m,f,m,por,3
6,13,1,m,f,m,por,-1
6,13,2,m,f,m,por,0
6,13,3,m,f,m,por,-5
6,14,1,f,m,f,por,5
6,14,2,f,m,f,por,5
6,14,3,f,m,f,por,3
6,15,1,m,f,m,por,3
6,15,2,m,f,m,por,-3
6,15,3,m,f,m,por,3
6,16,1,f,m,f,por,-5
6,16,2,f,m,f,por,-3
6,16,3,f,m,f,por,5
6,17,1,f,m,f,por,3
6,17,2,f,m,f,por,-5
6,17,3,f,m,f,por,-5
6,18,1,f,m,f,por,3
6,18,2,f,m,f,por,-5
6,18,3,f,m,f,por,3
6,19,1,f,m,f,por,-5
6,19,2,f,m,f,por,1
6,19,3,f,m,f,por,3
6,20,1,f,m,f,por,1
6,20,2,f,m,f,por,5
6,20,3,f,m,f,por,0
6,21,1,m,f,m,por,-3
6,21,2,m,f,m,por,-3
6,21,3,m,f,m,por,-5
6,22,1,f,m,f,por,3
6,22,2,f,m,f,por,-5
6,22,3,f,m,f,por,3
6,23,1,m,f,m,por,-5
6,23,2,m,f,m,por,3
6,23,3,m,f,m,por,3
6,24,1,f,m,f,por,-5
6,24,2,f,m,f,por,3
6,24,3,f,m,f,por,1
7,1,1,f,m,f,por,-1
7,1,2,f,m,f,por,0
7,1,3,f,m,f,por,5
7,2,1,m,f,m,por,-5
7,2,2,m,f,m,por,-1
7,2,3,m,f,m,por,-3
7,3,1,m,f,m,por,-5
7,3,2,m,f,m,por,-5
